0,0.72
1,0.75
2,0.94
3,0.69
4,0.75
5,0.88
6,0.95
7,0.79
8,0.83
9,0.84
10,0.94
11,0.92
12,0.78
13,0.89
14,0.78
15,1.01
16,0.7
17,0.98
18,0.85
19,0.65
20,0.73
21,0.72
22,0.91
23,0.76
24,0.92
25,0.6
26,0.8
27,0.71
28,0.72
29,0.79
30,0.78
31,0.71
32,0.75
33,0.92
34,1.25
35,0.58
36,1.22
37,0.79
38,0.57
39,0.82
40,1.09
41,0.87
42,0.71
43,0.62
44,0.74
45,0.59
46,0.71
47,1.11
48,0.62
49,0.96
50,0.75
51,0.78
52,0.83
53,0.69
54,0.68
55,0.64
56,0.49
57,0.88
58,0.83
59,1.07
60,0.51
61,0.57
62,0.66
63,0.79
64,0.65
65,1.03
66,0.73
67,0.65
68,0.87
69,0.74
70,1.32
71,0.64
72,0.64
73,0.67
74,0.63
75,1.09
76,0.96
77,0.97
78,0.55
79,1.08
80,0.84
81,0.59
82,0.92
83,0.72
84,0.76
85,0.57
86,0.64
87,0.57
88,0.62
89,0.61
90,0.84
91,0.47
92,1.22
93,0.51
94,0.43
95,0.99
96,0.79
97,0.66
98,1.44
99,1.12
100,0.8
101,0.54
102,0.52
103,1.26
104,0.63
105,0.45
106,0.58
107,0.42
108,0.68
109,0.57
110,0.89
111,0.9
112,0.86
113,1.1
114,1.42
115,0.67
116,0.83
117,0.8
118,0.73
119,1.43
120,0.65
121,0.75
122,0.66
123,1.73
124,0.28
125,0.9
126,1.11
127,0.91
128,0.54
129,0.79
130,0.49
131,0.9
132,0.67
133,0.94
134,0.5
135,0.5
136,0.81
137,0.73
138,0.71
139,0.69
140,0.9
141,1.5
142,1.07
143,0.72
144,0.91
145,0.96
146,0.83
147,0.54
148,0.48
149,0.94
150,0.86
151,0.72
152,0.82
153,1.13
154,1.22
155,0.83
156,1.32
157,1.09
158,0.79
159,0.66
160,0.77
161,0.94
162,0.61
163,0.6
164,0.64
165,0.6
166,0.68
167,0.68
168,1.01
169,0.54
170,0.99
171,0.77
172,1.17
173,0.7
174,0.89
175,1.16
176,0.63
177,0.62
178,0.98
179,1.26
180,0.78
181,0.92
182,0.6
183,0.88
184,0.68
185,1.13
