Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,VBD_OO,VBD_RD,VBD_WR,LOAD1,LOAD5,Label
1316327233,100,32,511,440,68,71,19,100,0,0,0,0.73,0.41,0
1316327234,100,16,511,440,84,71,11,53,0,0,0,0.83,0.43,0
1316327235,100,22,511,440,78,71,9,48,0,0,0,0.83,0.43,0
1316327236,100,20,511,440,80,71,9,45,0,0,0,0.83,0.43,0
1316327237,100,26,511,440,74,71,11,56,0,0,0,0.83,0.43,0
1316327238,100,26,511,441,74,70,12,48,0,0,0,0.83,0.43,0
1316327239,100,54,511,441,46,70,8,41,0,0,0,0.76,0.43,0
1316327240,100,27,511,441,73,70,15,84,0,0,0,0.76,0.43,0
1316327241,100,28,511,441,72,70,10,36,0,0,0,0.76,0.43,0
1316327242,100,31,511,441,69,70,13,63,0,0,0,0.76,0.43,0
1316327243,100,38,511,441,62,70,12,62,0,0,0,0.76,0.43,0
1316327244,100,25,511,441,75,70,11,57,0,0,0,0.70,0.42,0
1316327245,100,13,511,441,87,70,10,47,0,0,0,0.70,0.42,0
1316327246,100,17,511,441,83,70,10,61,0,0,0,0.70,0.42,0
1316327247,100,36,511,441,64,70,11,52,0,0,0,0.70,0.42,0
1316327248,100,59,511,441,41,70,11,51,0,0,0,0.70,0.42,0
1316327249,100,43,511,441,57,70,19,100,0,0,0,1.45,0.58,0
1316327250,100,30,511,441,70,70,13,65,0,0,0,1.45,0.58,0
1316327251,100,20,511,441,80,70,12,56,0,0,0,1.45,0.58,0
1316327252,100,45,511,441,55,70,14,66,0,0,0,1.45,0.58,0
1316327253,100,41,511,441,59,70,13,54,0,0,0,1.45,0.58,0
1316327254,100,55,511,441,45,70,18,90,0,0,0,1.49,0.60,0
1316327255,100,14,511,441,86,70,10,55,0,0,0,1.49,0.60,0
1316327256,100,51,511,441,49,70,12,76,0,0,0,1.49,0.60,0
1316327257,100,34,511,441,66,70,15,68,0,0,0,1.49,0.60,0
1316327258,100,40,511,441,60,70,13,74,0,0,0,1.37,0.59,0
1316327259,100,32,511,441,68,70,10,56,0,0,0,1.37,0.59,0
1316327260,100,45,511,441,55,70,15,67,0,0,0,1.37,0.59,0
1316327261,100,17,511,441,83,70,9,39,0,0,0,1.37,0.59,0
1316327262,100,32,511,441,68,70,15,73,0,0,0,1.37,0.59,0
1316327263,100,19,511,441,81,70,10,51,0,0,0,1.26,0.58,0
1316327264,100,24,511,441,76,70,9,42,0,0,0,1.26,0.58,0
1316327265,100,19,511,441,81,70,10,46,0,0,0,1.26,0.58,0
1316327266,100,32,511,441,68,70,13,62,0,0,0,1.26,0.58,0
1316327267,100,25,511,441,75,70,14,61,0,0,0,1.26,0.58,0
1316327268,100,24,511,441,76,70,11,56,0,0,0,1.16,0.57,0
1316327269,100,18,511,441,82,70,9,47,0,0,0,1.16,0.57,0
1316327270,100,24,511,441,76,70,12,61,0,0,0,1.16,0.57,0
1316327271,100,18,511,441,82,70,12,48,0,0,0,1.16,0.57,0
1316327272,100,52,511,441,48,70,11,54,0,0,0,1.16,0.57,0
1316327273,100,17,511,441,83,70,10,56,0,0,0,1.07,0.56,0
1316327274,100,35,511,441,65,70,14,64,0,0,0,1.07,0.56,0
1316327275,100,38,511,441,62,70,10,40,0,0,0,1.07,0.56,0
1316327276,100,45,511,441,55,70,14,74,0,0,0,1.07,0.56,0
1316327277,100,34,511,441,66,70,11,39,0,0,0,1.07,0.56,0
1316327278,100,27,511,441,73,70,7,32,0,0,0,0.98,0.55,0
1316327279,100,19,511,441,81,70,8,53,0,0,0,0.98,0.55,0
1316327280,100,10,511,441,90,70,7,28,0,0,0,0.98,0.55,0
1316327281,100,31,511,441,69,70,10,48,0,0,0,0.98,0.55,0
1316327282,100,24,511,441,76,70,10,34,0,0,0,0.98,0.55,0
1316327283,100,24,511,441,76,70,8,49,0,0,0,0.90,0.54,0
1316327284,100,10,511,441,90,70,9,44,0,0,0,0.90,0.54,0
1316327285,100,30,511,441,70,70,10,57,0,0,0,0.90,0.54,0
1316327286,100,27,511,441,73,70,10,45,0,0,0,0.90,0.54,0
1316327287,100,21,511,441,79,70,10,58,0,0,0,0.90,0.54,0
1316327288,100,19,511,441,81,70,10,42,0,0,0,0.83,0.53,0
1316327289,100,22,511,441,78,70,8,44,0,0,0,0.83,0.53,0
1316327290,100,21,511,441,79,70,8,38,0,0,0,0.83,0.53,0
1316327291,100,10,511,441,90,70,7,28,0,0,0,0.83,0.53,0
1316327292,100,31,511,441,69,70,12,55,0,0,0,0.83,0.53,0
1316327293,100,19,511,441,81,70,6,29,0,0,0,0.76,0.52,0
1316327294,100,27,511,441,73,70,10,51,0,0,0,0.76,0.52,0
1316327295,100,19,511,441,81,70,7,43,0,0,0,0.76,0.52,0
1316327296,100,13,511,441,87,70,8,41,0,0,0,0.76,0.52,0
